,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Nilai Semester 1 - Aljabar Linier,0.6342247794383987,0.5069367818891439,-0.14392289471439326,0.32070546633658903,-0.09324674263568367,-0.14311579551779124,0.011964445154113951,-0.0688691361097773,-0.12225456666037311,0.06512269413913047,-0.17515687872905367
Nilai Semester 1 - Statistika Dasar,0.3993209941658505,0.012838889025963775,0.08863877260595518,-0.15003855590056356,0.4355265751736045,0.34051814723065593,-0.40842736351955394,-0.006295757220228581,-0.09023059778575261,0.1231385809400861,-0.17150094507903008
Nilai Semester 1 - Pemrograman 1,0.49474644794406575,0.5673484842281471,0.08012896368936027,-0.05711560468534329,0.15973499793982157,0.08500699069883189,0.0927821752371972,-0.11439434972609157,-0.26323497362063153,-0.3676494475340459,-0.0787530405012422
Nilai Semester 1 - Logika dan Algoritma,0.5382162818029208,0.16752021368914508,-0.1643223018327641,-0.18988226665294256,0.41724096233964625,0.3173337489664232,0.3419236277880403,-0.10403902245525742,0.16599248072168263,0.06926498801846037,0.08747894886527714
Nilai Semester 1 - Basis Data,0.5403958122315939,-0.010238261095272113,-0.26947211002280885,0.22231761139317613,0.08333495062969351,-0.4088468046255083,0.48625500434519725,-0.08618210681867858,-0.13273957025885327,-0.11295222358615996,-0.16825335887266962
Nilai Semester 1 - Matematika 1,0.7176007332733608,0.38149028815041436,-0.06314728235250061,-0.1294241364116555,0.07877684699903185,0.032989075566348995,-0.05160073524327584,0.12839286418087034,-0.00015882567959020995,0.45000423426331093,-0.06383364111289702
Nilai Semester 1 - Agama,0.39640586729337474,-0.367708418797246,0.4423850091786299,0.10469435440071279,0.13487548654833217,-0.06105155809969431,-0.05828384230649046,-0.27156120542911516,0.06989234820587642,0.14665841206954347,-0.175881346831219
Nilai Semester 1 - Praktikum Statistika Dasar,0.35834779878098383,0.15298698784213724,0.2404253475262156,-0.0141145558703882,0.43779928803827023,-0.3853122329434807,0.1096774997808155,0.4741169417034247,-0.15115797606771705,0.07693622757256413,-0.004411998276088736
Nilai Semester 1 - Praktikum Pemrograman 1,0.35216554343834916,0.6325478972370236,0.020176867374811537,-0.09084300830389958,-0.15402975890022264,0.1501250935120668,0.31011973744086474,0.11176465297801862,0.04182947608737402,-0.32706558161839344,-0.029784346865969705
Nilai Semester 1 - Praktikum Basis Data,0.498448268550713,0.16224641723786598,-0.5570387700566083,-0.2913702074834827,0.0942423969519952,-0.20469733248218044,0.2680761484227419,-0.0663844554491691,0.1579187162480127,-0.01685601470872422,0.17530833421145234
Nilai Semester 2 - Pemodelan Statistik Terapan,0.3849325899003215,0.22118933272553679,-0.26501156110362795,0.21820612318556765,0.15626275920839405,0.11944962650489492,-0.11258861910974187,0.27147760252668135,0.2941469427738169,-0.19717673518405676,-0.4781657498333819
Nilai Semester 2 - Pemrograman 2,0.7315571590811524,0.3149664449172766,0.10802126675852955,0.3756069247309814,0.009154976722647581,0.07674124397263354,0.003657135745288707,-0.10886998065302649,0.22679307750612196,-0.152491919306164,0.006081981012264633
Nilai Semester 2 - Kecerdasan Buatan,0.538494941661184,-0.23394232827824255,-0.073438341133878,-0.08231154238236643,-0.10347280767003178,0.367939432660056,-0.2373956756175007,0.2815304184705423,-0.40512704241644537,0.23256618486590847,0.07939716734787923
Nilai Semester 2 - Pemrosesan Data,0.18237665669775946,-0.22077571195664986,-0.18457676548523955,0.03362295670238609,-0.2851487331158333,0.01648236856558311,0.0939607982556041,0.21702293676610893,0.5420485400215711,-0.09707609733354797,0.4987994798854748
Nilai Semester 2 - Manajemen Data,0.5272710782082819,-0.2075381549091597,-0.3368019715493361,-0.23933463891851942,0.4168342456610807,-0.0869391466660487,-0.10965558591890487,0.25813301881597156,0.34400099994964595,-0.019163979289741777,-0.150150554775106
